date,time,open,high,low,close,volume
2025.05.23,08:00,3329.19100,3349.74000,3322.54800,3347.96600,55170
2025.05.23,12:00,3348.01800,3364.62000,3336.63100,3361.65500,112386
2025.05.23,16:00,3361.68700,3365.93100,3356.34800,3360.78500,33758
2025.05.23,20:00,3360.74300,3361.70000,3356.10300,3356.28500,5508
2025.05.25,22:05,3352.09500,3352.48000,3341.34900,3342.69100,22903
2025.05.26,00:00,3342.73000,3356.85900,3331.39000,3347.63600,50807
2025.05.26,04:00,3347.63900,3351.90600,3332.12400,3337.30900,35084
2025.05.26,08:00,3337.43100,3339.67000,3323.48500,3333.14900,31272
2025.05.26,12:00,3333.15200,3341.62400,3326.35000,3337.99800,31074
2025.05.26,16:00,3337.98400,3343.63900,3337.52100,3341.55800,7831
2025.05.26,22:05,3346.45800,3348.86300,3342.82900,3346.13900,9240
2025.05.27,00:00,3346.18200,3350.02900,3331.73000,3341.21700,34515
2025.05.27,04:00,3341.18800,3341.48500,3292.53500,3296.24400,62072
2025.05.27,08:00,3296.21400,3310.34400,3287.72400,3288.37400,53781
2025.05.27,12:00,3288.39900,3304.92600,3285.08900,3293.60500,59799
2025.05.27,16:00,3293.61200,3308.00800,3292.96900,3304.38000,23756
2025.05.27,20:00,3304.35600,3310.95700,3297.62100,3309.40200,15681
2025.05.28,00:00,3309.43100,3315.77000,3291.67400,3297.76100,43237
2025.05.28,04:00,3297.72500,3322.39300,3294.38300,3319.24900,38663
2025.05.28,08:00,3319.30000,3325.55600,3307.46100,3311.09900,32514
2025.05.28,12:00,3311.16800,3316.43800,3292.58200,3296.09400,55505
2025.05.28,16:00,3296.12500,3303.06500,3288.60900,3296.98300,30515
2025.05.28,20:00,3297.00600,3297.35600,3250.25800,3259.89500,44929
2025.05.29,00:00,3259.90400,3280.18900,3245.43200,3274.54500,75532
2025.05.29,04:00,3274.63500,3287.49400,3265.98600,3286.47800,39245
2025.05.29,08:00,3286.43100,3305.52300,3276.26200,3299.71900,36803
2025.05.29,12:00,3299.84400,3322.00800,3298.54100,3321.57800,68713
2025.05.29,16:00,3321.66400,3331.25300,3315.48600,3316.61500,34522
